input_sha256,layer,label,capacity_mw,registered_capacity_coverage_pct,indicative_global_capacity_coverage_pct,regions,missing_price_capacity_mw,denominator_note
ff1e8ce94ab2cf3a06d6317e2982e5d04361ff7412dda11aabb26b02428cd7d9,capacity_register,Capacity registered independently of price availability,57077.4,100,92.0603,58,,62000 MW indicative 2025 global benchmark
ff1e8ce94ab2cf3a06d6317e2982e5d04361ff7412dda11aabb26b02428cd7d9,data_center_tariff_evidence,Strict data-center-specific subset,672.0025,1.1774,1.0839,2,56405.3975,Price coverage uses registered capacity as its main denominator
ff1e8ce94ab2cf3a06d6317e2982e5d04361ff7412dda11aabb26b02428cd7d9,comparable_proxy,Observed prices or applicable tariffs,39189.1939,68.6597,63.2084,27,17888.2061,Price coverage uses registered capacity as its main denominator
