input_sha256,scenario_id,scenario_title,china_technology,global_technology,china_efficiency_multiplier,global_efficiency_multiplier,source_ids
ff1e8ce94ab2cf3a06d6317e2982e5d04361ff7412dda11aabb26b02428cd7d9,same_technology,Same technology everywhere,NVIDIA GB200 NVL72,NVIDIA GB200 NVL72,1,1,nvidia_gb200_spec;nvidia_gb200_power
ff1e8ce94ab2cf3a06d6317e2982e5d04361ff7412dda11aabb26b02428cd7d9,export_constrained,Export-control-constrained technology,Huawei CloudMatrix384,NVIDIA GB200 NVL72,2.5,1,nvidia_gb200_spec;nvidia_gb200_power;huawei_cloudmatrix_performance;semianalysis_cloudmatrix_power;bis_china_policy_2026
