input_sha256,layer,layer_label,country,region,covered_capacity_mw,registered_capacity_mw,regional_coverage_pct,covered_source_records,registered_source_records
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Hainan,121.6133,121.6133,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Jilin,121.6133,121.6133,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Tibet,118.0365,118.0365,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,India,Maharashtra,911.9,911.9,100,2,2
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,India,Tamil Nadu,191.5,191.5,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,India,Delhi NCR,174.5,174.5,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,India,Karnataka,169.5,169.5,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,India,Telangana,151.4,151.4,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,India,West Bengal,23.1,23.1,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,London,1048,1048,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,Wales,154,154,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,South East,128,128,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,South West,53,53,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,North West,52,52,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,East of England,44,44,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,Scotland,30,30,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,North East,17,17,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,Yorkshire and the Humber,16,16,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,West Midlands,15,15,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United Kingdom,East Midlands,9,9,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,Canada,Quebec,229.5,229.5,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Virginia,0,8315,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Texas,0,4123,0,0,2
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Pacific Northwest,0,4120,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Ohio,0,3541,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Georgia,0,2070,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Arizona,0,1653,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Nebraska–Iowa,0,1378,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Illinois,0,1223,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United States,Indiana,0,1162,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Hebei,0,3880.5703,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Guangdong,0,2515.1844,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Jiangsu,0,1921.7505,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Guizhou,0,1648.6083,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Inner Mongolia,442.5025,1638.8532,27.0007,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Shanghai,0,1599.6161,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Zhejiang,0,1344.3582,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Beijing,0,1310.3238,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Shanxi,0,1302.574,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Shandong,0,1047.0451,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Hunan,0,713.0962,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Chongqing,0,685.4569,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Sichuan,0,685.4569,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Fujian,0,574.8993,0,0,1
